"","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Soort.regio..omschrijving.","Psychische.klachten....","Hoog.risico.op.angst.of.depressie...."
"149","18 jaar of ouder","Waarde",2022,"Kampen","Gemeente  ",19.5,8.9
"150","18 jaar of ouder","Waarde",2022,"Kapelle","Gemeente  ",16.9,6.5
"151","18 jaar of ouder","Waarde",2022,"Katwijk","Gemeente  ",19.5,8.8
"152","18 jaar of ouder","Waarde",2022,"Kerkrade","Gemeente  ",27,12.5
"153","18 jaar of ouder","Waarde",2022,"Koggenland","Gemeente  ",17,7.2
"154","18 jaar of ouder","Waarde",2022,"Krimpen aan den IJssel","Gemeente  ",21,9.3
"155","18 jaar of ouder","Waarde",2022,"Krimpenerwaard","Gemeente  ",18.6,8
"156","18 jaar of ouder","Waarde",2022,"Laarbeek","Gemeente  ",17.2,7.3
"157","18 jaar of ouder","Waarde",2022,"Land van Cuijk","Gemeente  ",17.8,7.7
"158","18 jaar of ouder","Waarde",2022,"Landgraaf","Gemeente  ",24.9,11.2
"159","18 jaar of ouder","Waarde",2022,"Landsmeer","Gemeente  ",18.8,7.9
"160","18 jaar of ouder","Waarde",2022,"Lansingerland","Gemeente  ",18.5,7.8
"161","18 jaar of ouder","Waarde",2022,"Laren","Gemeente  ",15.8,6
"162","18 jaar of ouder","Waarde",2022,"Leeuwarden","Gemeente  ",22.3,10.2
"163","18 jaar of ouder","Waarde",2022,"Leiden","Gemeente  ",26.3,12.5
"164","18 jaar of ouder","Waarde",2022,"Leiderdorp","Gemeente  ",20.2,8.8
"165","18 jaar of ouder","Waarde",2022,"Leidschendam-Voorburg","Gemeente  ",22.6,10
"166","18 jaar of ouder","Waarde",2022,"Lelystad","Gemeente  ",23.6,11.5
"167","18 jaar of ouder","Waarde",2022,"Leudal","Gemeente  ",18.8,7.3
"168","18 jaar of ouder","Waarde",2022,"Leusden","Gemeente  ",17.1,7.3
"169","18 jaar of ouder","Waarde",2022,"Lingewaard","Gemeente  ",17,7.2
"170","18 jaar of ouder","Waarde",2022,"Lisse","Gemeente  ",19.2,8.3
"171","18 jaar of ouder","Waarde",2022,"Lochem","Gemeente  ",15.2,6.5
"172","18 jaar of ouder","Waarde",2022,"Loon op Zand","Gemeente  ",19.1,8.2
"173","18 jaar of ouder","Waarde",2022,"Lopik","Gemeente  ",17.5,7.4
"174","18 jaar of ouder","Waarde",2022,"Losser","Gemeente  ",20.4,8.2
"175","18 jaar of ouder","Waarde",2022,"Maasdriel","Gemeente  ",18.3,7.7
"176","18 jaar of ouder","Waarde",2022,"Maasgouw","Gemeente  ",19.3,7.6
"177","18 jaar of ouder","Waarde",2022,"Maashorst","Gemeente  ",18.9,8.5
"178","18 jaar of ouder","Waarde",2022,"Maassluis","Gemeente  ",24.9,11.5
"179","18 jaar of ouder","Waarde",2022,"Maastricht","Gemeente  ",28.6,13.5
"180","18 jaar of ouder","Waarde",2022,"Medemblik","Gemeente  ",18.3,8
"181","18 jaar of ouder","Waarde",2022,"Meerssen","Gemeente  ",20,8
"182","18 jaar of ouder","Waarde",2022,"Meierijstad","Gemeente  ",18.4,8.1
"183","18 jaar of ouder","Waarde",2022,"Meppel","Gemeente  ",19.5,9.3
"184","18 jaar of ouder","Waarde",2022,"Middelburg","Gemeente  ",21.2,9.3
"185","18 jaar of ouder","Waarde",2022,"Midden-Delfland","Gemeente  ",17.9,7.4
"186","18 jaar of ouder","Waarde",2022,"Midden-Drenthe","Gemeente  ",16.2,7
"187","18 jaar of ouder","Waarde",2022,"Midden-Groningen","Gemeente  ",21.6,10
"188","18 jaar of ouder","Waarde",2022,"Moerdijk","Gemeente  ",19.9,8.4
"189","18 jaar of ouder","Waarde",2022,"Molenlanden","Gemeente  ",17.4,7.3
"190","18 jaar of ouder","Waarde",2022,"Montferland","Gemeente  ",18.5,8.4
"191","18 jaar of ouder","Waarde",2022,"Montfoort","Gemeente  ",17.3,7.2
"192","18 jaar of ouder","Waarde",2022,"Mook en Middelaar","Gemeente  ",16.6,6.5
"193","18 jaar of ouder","Waarde",2022,"Neder-Betuwe","Gemeente  ",17.9,7.9
"194","18 jaar of ouder","Waarde",2022,"Nederweert","Gemeente  ",17.9,7.1
"195","18 jaar of ouder","Waarde",2022,"Nieuwegein","Gemeente  ",22.6,10.4
"196","18 jaar of ouder","Waarde",2022,"Nieuwkoop","Gemeente  ",17.2,7.2
"197","18 jaar of ouder","Waarde",2022,"Nijkerk","Gemeente  ",17.7,7.8
"198","18 jaar of ouder","Waarde",2022,"Nijmegen","Gemeente  ",25.5,12.2
"199","18 jaar of ouder","Waarde",2022,"Nissewaard","Gemeente  ",23.8,11.1
"200","18 jaar of ouder","Waarde",2022,"Noardeast-Fryslân","Gemeente  ",17.6,7.5
"201","18 jaar of ouder","Waarde",2022,"Noord-Beveland","Gemeente  ",17.8,7.3
"202","18 jaar of ouder","Waarde",2022,"Noordenveld","Gemeente  ",15.7,6.3
"203","18 jaar of ouder","Waarde",2022,"Noordoostpolder","Gemeente  ",19.3,8.9
"204","18 jaar of ouder","Waarde",2022,"Noordwijk","Gemeente  ",19.4,8.5
"205","18 jaar of ouder","Waarde",2022,"Nuenen, Gerwen en Nederwetten","Gemeente  ",16.7,6.7
"206","18 jaar of ouder","Waarde",2022,"Nunspeet","Gemeente  ",17.2,7.6
"207","18 jaar of ouder","Waarde",2022,"Oegstgeest","Gemeente  ",18.1,7.4
"208","18 jaar of ouder","Waarde",2022,"Oirschot","Gemeente  ",16.5,6.4
"209","18 jaar of ouder","Waarde",2022,"Oisterwijk","Gemeente  ",17.6,7
"210","18 jaar of ouder","Waarde",2022,"Oldambt","Gemeente  ",22.8,10.1
"211","18 jaar of ouder","Waarde",2022,"Oldebroek","Gemeente  ",16.8,7.6
"212","18 jaar of ouder","Waarde",2022,"Oldenzaal","Gemeente  ",18.8,8.8
"213","18 jaar of ouder","Waarde",2022,"Olst-Wijhe","Gemeente  ",16.1,6.9
"214","18 jaar of ouder","Waarde",2022,"Ommen","Gemeente  ",15.8,7
"215","18 jaar of ouder","Waarde",2022,"Oost Gelre","Gemeente  ",15,7.2
"216","18 jaar of ouder","Waarde",2022,"Oosterhout","Gemeente  ",21.9,9.7
"217","18 jaar of ouder","Waarde",2022,"Ooststellingwerf","Gemeente  ",17.1,7.4
"218","18 jaar of ouder","Waarde",2022,"Oostzaan","Gemeente  ",18.5,7.6
"219","18 jaar of ouder","Waarde",2022,"Opmeer","Gemeente  ",17.2,7.5
"220","18 jaar of ouder","Waarde",2022,"Opsterland","Gemeente  ",16.3,6.8
"221","18 jaar of ouder","Waarde",2022,"Oss","Gemeente  ",21.2,10
"222","18 jaar of ouder","Waarde",2022,"Oude IJsselstreek","Gemeente  ",18.2,8.5
"223","18 jaar of ouder","Waarde",2022,"Ouder-Amstel","Gemeente  ",20.9,8.6
