"","Onderwijsvolgend","Arbeidskenmerken","Uitkering","Geregistreerd.werkzoekende.bij.UWV","Perioden","Gemeente","Jongeren..15.tot.27.jaar...aantal.","Leeftijd","Marges","Regioaanduiding.Soort.regio..omschrijving.","Psychische.klachten....","Hoog.risico.op.angst.of.depressie...."
"131","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Heusden",6100,"18 jaar of ouder","Waarde","Gemeente  ",NA,6
"132","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hillegom",2800,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.7
"133","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hilvarenbeek",2100,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.5
"134","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hilversum",11900,"18 jaar of ouder","Waarde","Gemeente  ",NA,6.7
"135","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hoeksche Waard",11500,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.9
"136","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hof van Twente",4800,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.1
"137","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Het Hogeland",6200,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.6
"138","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hollands Kroon",7000,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.9
"139","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hoogeveen",7700,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.4
"140","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hoorn",10300,"18 jaar of ouder","Waarde","Gemeente  ",NA,6.9
"141","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Horst aan de Maas",6000,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.1
"142","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Houten",7000,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.1
"143","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Huizen",5200,"18 jaar of ouder","Waarde","Gemeente  ",NA,6.1
"144","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hulst",3100,"18 jaar of ouder","Waarde","Gemeente  ",NA,6.4
"145","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","IJsselstein",5100,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.8
"146","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Kaag en Braassem",3700,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.6
"147","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Kampen",8500,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.8
"148","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Kapelle",1800,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.1
"149","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Katwijk",9700,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.7
"150","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Kerkrade",4900,"18 jaar of ouder","Waarde","Gemeente  ",NA,10.4
"151","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Koggenland",3400,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.1
"152","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Krimpen aan den IJssel",4200,"18 jaar of ouder","Waarde","Gemeente  ",NA,6
"153","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Krimpenerwaard",8200,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.1
"154","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Laarbeek",3100,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.3
"155","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Land van Cuijk",12700,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.6
"156","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Landgraaf",4300,"18 jaar of ouder","Waarde","Gemeente  ",NA,9.1
"157","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Landsmeer",1400,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.1
"158","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Lansingerland",8300,"18 jaar of ouder","Waarde","Gemeente  ",NA,5
"159","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Laren (NH.)",1200,NA,NA,NA,NA,NA
"160","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Leeuwarden",22200,"18 jaar of ouder","Waarde","Gemeente  ",NA,6.7
"161","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Leiden",27200,"18 jaar of ouder","Waarde","Gemeente  ",NA,7.8
"162","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Leiderdorp",3500,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.6
"163","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Leidschendam-Voorburg",8900,"18 jaar of ouder","Waarde","Gemeente  ",NA,6.5
"164","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Lelystad",11300,"18 jaar of ouder","Waarde","Gemeente  ",NA,7.7
"165","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Leudal",4700,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.8
"166","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Leusden",3900,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.7
"167","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Lingewaard",6200,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.3
"168","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Lisse",3000,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.4
"169","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Lochem",4000,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.7
