"","Onderwijsvolgend","Uitkering","Geregistreerd.werkzoekende.bij.UWV","Perioden","Gemeente","aantal_jongeren","nietwerkzame_jongeren"
"253","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Sint-Michielsgestel",3800,1000
"254","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Sittard-Geleen",11700,3800
"255","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Sliedrecht",3600,900
"256","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Sluis",2500,600
"257","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Smallingerland",7900,2700
"258","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Soest",6300,1900
"259","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Someren",2700,500
"260","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Son en Breugel",2200,700
"261","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Stadskanaal",4000,1200
"262","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Staphorst",2900,500
"263","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Stede Broec",3100,700
"264","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Steenbergen",3200,800
"265","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Steenwijkerland",6000,1600
"266","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Stein (L.)",2800,800
"267","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Stichtse Vecht",8200,2600
"268","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Súdwest-Fryslân",12100,3400
"269","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Terneuzen",6700,1900
"270","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Terschelling",900,300
"271","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Texel",1700,400
"272","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Teylingen",5300,1500
"273","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Tholen",3900,900
"274","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Tiel",6300,1900
"275","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Tilburg",41700,12800
"276","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Tubbergen",3600,800
"277","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Twenterand",5000,1200
"278","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Tynaarlo",3500,1400
"279","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Tytsjerksteradiel",4300,1300
"280","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Uitgeest",2000,500
"281","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Uithoorn",4100,1200
"282","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Urk",4100,600
"283","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Utrecht (gemeente)",69900,24200
"284","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Utrechtse Heuvelrug",6200,2400
"285","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Vaals",1400,800
"286","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Valkenburg aan de Geul",1900,500
"287","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Valkenswaard",3900,900
"288","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Veendam",3600,1200
"289","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Veenendaal",10100,2600
"290","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Veere",2700,500
"291","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Veldhoven",5800,1500
"292","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Velsen",9600,2700
"293","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Venlo",13800,4000
"294","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Venray",6100,1400
"295","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Vijfheerenlanden",8100,2000
"296","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Vlaardingen",9900,3000
"297","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Vlieland",200,100
"298","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Vlissingen",5900,1800
"299","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Voerendaal",1400,400
"300","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Voorne aan Zee",9100,2500
"301","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Voorschoten",3200,1300
"302","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Voorst",3100,900
"303","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Vught",3700,1100
"304","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Waadhoeke",6200,1800
"305","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Waalre",2000,700
"306","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Waalwijk",6500,1500
"307","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Waddinxveen",4000,900
"308","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Wageningen",10800,6000
"309","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Wassenaar",3500,2000
"310","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Waterland",2100,700
