"","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Gemeentenaam..naam.","Regioaanduiding.Soort.regio..omschrijving.","Regioaanduiding.Codering..code.","Ervaren.gezondheid..goed.zeer.goed.....","Bewegen.Voldoet.aan.beweegrichtlijn....","Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....","Roker....","Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....","Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....","Psychische.klachten....","Veerkracht..Zeer..lage.veerkracht....","Hoog.risico.op.angst.of.depressie....","Eenzaamheid.Ernstig.zeer.ernstig.eenzaam...."
"12","18 jaar of ouder","Waarde",2022,"Halderberge","Halderberge                             ","Gemeente  ","GM1655              ",66.7,37.9,19.4,16.5,44.6,33.7,20.1,17.4,8.5,13.8
"13","18 jaar of ouder","Waarde",2022,"Hardenberg","Hardenberg                              ","Gemeente  ","GM0160              ",72.6,46,17.9,17.4,39.4,31.1,16.5,16.3,7.6,10.6
"14","18 jaar of ouder","Waarde",2022,"Harderwijk","Harderwijk                              ","Gemeente  ","GM0243              ",69.9,47.3,16.8,17.5,47.3,33.4,20.8,16.4,9.7,13.1
"15","18 jaar of ouder","Waarde",2022,"Hardinxveld-Giessendam","Hardinxveld-Giessendam                  ","Gemeente  ","GM0523              ",72.1,40.8,17.4,15.1,49.8,30.9,18.5,15.7,8,11.3
"16","18 jaar of ouder","Waarde",2022,"Harlingen","Harlingen                               ","Gemeente  ","GM0072              ",68.2,50.6,19,19.8,44.4,36,18.3,16.1,8.4,13.3
"17","18 jaar of ouder","Waarde",2022,"Hattem","Hattem                                  ","Gemeente  ","GM0244              ",73.8,47.7,15.5,14.7,44.7,31.1,16.1,14.4,6.9,10.5
"18","18 jaar of ouder","Waarde",2022,"Heemskerk","Heemskerk                               ","Gemeente  ","GM0396              ",68.9,48.9,16.1,16.1,41.6,33.7,21,16.4,9.8,13.5
"19","18 jaar of ouder","Waarde",2022,"Heemstede","Heemstede                               ","Gemeente  ","GM0397              ",74.5,52,11.9,12.6,36.9,32,17,12.7,6.7,11.1
"20","18 jaar of ouder","Waarde",2022,"Heerde","Heerde                                  ","Gemeente  ","GM0246              ",73,45.5,16,14.5,45.9,32.5,15.9,14.8,6.9,10.1
"21","18 jaar of ouder","Waarde",2022,"Heerenveen","Heerenveen                              ","Gemeente  ","GM0074              ",71.2,46.1,16.2,17.6,42.8,33.3,18.8,15.9,8.4,12.6
"22","18 jaar of ouder","Waarde",2022,"Heerlen","Heerlen                                 ","Gemeente  ","GM0917              ",58.5,36.7,22.3,22.5,50.9,42.9,29.2,21.3,14.4,18.8
