"","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Gemeentenaam..naam.","Regioaanduiding.Soort.regio..omschrijving.","Regioaanduiding.Codering..code.","Ervaren.gezondheid..goed.zeer.goed.....","Bewegen.Voldoet.aan.beweegrichtlijn....","Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....","Roker....","Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....","Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....","Psychische.klachten....","Veerkracht..Zeer..lage.veerkracht....","Hoog.risico.op.angst.of.depressie....","Eenzaamheid.Ernstig.zeer.ernstig.eenzaam...."
"80","18 jaar of ouder","Waarde",2020,"Edam-Volendam","Edam-Volendam                           ","Gemeente  ","GM0385              ",82.2,"    49.1",13.3,14.3,36,30.7,"       .","       .",4.5,7.9
"81","18 jaar of ouder","Waarde",2020,"Ede","Ede                                     ","Gemeente  ","GM0228              ",80.6,"    53.7",15.3,16.8,49.8,32.1,"       .","       .",6,9.8
"82","18 jaar of ouder","Waarde",2020,"Eemnes","Eemnes                                  ","Gemeente  ","GM0317              ",82.4,"       .",12.6,14.8,35.1,31.3,"       .","       .",4.6,8.3
"83","18 jaar of ouder","Waarde",2020,"Eemsdelta","Eemsdelta                               ","Gemeente  ","GM1979              ",74.2,"    42.1",22.3,20.3,50.6,35.6,"       .","       .",6.8,10.9
"84","18 jaar of ouder","Waarde",2020,"Eersel","Eersel                                  ","Gemeente  ","GM0770              ",80.3,"    50.9",13.4,12.6,37.7,29.8,"       .","       .",4.5,8.5
"85","18 jaar of ouder","Waarde",2020,"Eijsden-Margraten","Eijsden-Margraten                       ","Gemeente  ","GM1903              ",78,"    47.5",15.2,14.7,38,33.7,"       .","       .",5.4,9.6
"86","18 jaar of ouder","Waarde",2020,"Eindhoven","Eindhoven                               ","Gemeente  ","GM0772              ",77.3,"    51.0",14.6,19.7,42.4,31.2,"       .","       .",8.9,14.1
"87","18 jaar of ouder","Waarde",2020,"Elburg","Elburg                                  ","Gemeente  ","GM0230              ",81.4,"    49.6",15.9,16.6,47.1,31.7,"       .","       .",4.7,8.7
"88","18 jaar of ouder","Waarde",2020,"Emmen","Emmen                                   ","Gemeente  ","GM0114              ",76.4,"    45.1",19.8,20.1,43.7,36,"       .","       .",6.6,11.7
"89","18 jaar of ouder","Waarde",2020,"Enkhuizen","Enkhuizen                               ","Gemeente  ","GM0388              ",78.1,"    51.3",16,18.3,41.4,34.3,"       .","       .",6.4,10.6
"90","18 jaar of ouder","Waarde",2020,"Enschede","Enschede                                ","Gemeente  ","GM0153              ",77.1,"    53.7",17.4,21.9,42.6,33.1,"       .","       .",8.5,13.2
"91","18 jaar of ouder","Waarde",2020,"Epe","Epe                                     ","Gemeente  ","GM0232              ",80.5,"    49.7",15.8,15.8,45.8,33.4,"       .","       .",5.1,9.2
"92","18 jaar of ouder","Waarde",2020,"Ermelo","Ermelo                                  ","Gemeente  ","GM0233              ",80.3,"    50.1",14.6,15.9,47.4,33.3,"       .","       .",5.2,9.5
"93","18 jaar of ouder","Waarde",2020,"Etten-Leur","Etten-Leur                              ","Gemeente  ","GM0777              ",77.9,"    48.8",17.5,15.5,44.2,32.7,"       .","       .",7,11.2
"94","18 jaar of ouder","Waarde",2020,"De Fryske Marren","De Fryske Marren                        ","Gemeente  ","GM1940              ",81.4,"    52.4",14.7,16.5,40.6,31.8,"       .","       .",4.3,7.4
"95","18 jaar of ouder","Waarde",2020,"Geertruidenberg","Geertruidenberg                         ","Gemeente  ","GM0779              ",78.1,"    45.7",17.8,16.4,41.6,32.3,"       .","       .",6,10.1
"96","18 jaar of ouder","Waarde",2020,"Geldrop-Mierlo","Geldrop-Mierlo                          ","Gemeente  ","GM1771              ",77.8,"    50.2",15.6,15.9,40.4,32.9,"       .","       .",6.8,11.1
"97","18 jaar of ouder","Waarde",2020,"Gemert-Bakel","Gemert-Bakel                            ","Gemeente  ","GM1652              ",78.9,"    51.5",15.1,15.3,36.7,31.4,"       .","       .",5.7,9.6
"98","18 jaar of ouder","Waarde",2020,"Gennep","Gennep                                  ","Gemeente  ","GM0907              ",77.5,"    52.6",16,15.5,41.2,34.3,"       .","       .",5.9,10
"99","18 jaar of ouder","Waarde",2020,"Gilze en Rijen","Gilze en Rijen                          ","Gemeente  ","GM0784              ",77.9,"    48.0",17,15.2,42.2,32.4,"       .","       .",6.2,10.7
"100","18 jaar of ouder","Waarde",2020,"Goeree-Overflakkee","Goeree-Overflakkee                      ","Gemeente  ","GM1924              ",79.1,"    44.0",17.1,15.6,48.9,31.9,"       .","       .",5.1,9.6
