"","Onderwijsvolgend","Arbeidskenmerken","Uitkering","Geregistreerd.werkzoekende.bij.UWV","Perioden","Regio.s","Jongeren..15.tot.27.jaar...aantal."
"193","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Breda",30700
"194","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Breda",30700
"195","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Breda",30900
"196","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Breda",31800
"197","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bronckhorst",4800
"198","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Bronckhorst",4800
"199","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Bronckhorst",4800
"200","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Bronckhorst",4700
"201","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Brummen",2600
"202","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Brummen",2600
"203","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Brummen",2500
"204","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Brummen",2500
"205","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Brunssum",3200
"206","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Brunssum",3200
"207","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Brunssum",3200
"208","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Brunssum",3200
"209","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bunnik",1800
"210","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Bunnik",1800
"211","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Bunnik",1900
"212","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Bunnik",1900
"213","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bunschoten",3400
"214","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Bunschoten",3400
"215","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Bunschoten",3400
"216","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Bunschoten",3400
"217","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Buren",3600
"218","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Buren",3600
"219","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Buren",3700
"220","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Buren",3600
"221","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Capelle aan den IJssel",9200
"222","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Capelle aan den IJssel",9100
"223","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Capelle aan den IJssel",9100
"224","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Capelle aan den IJssel",9200
"225","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Castricum",4800
"226","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Castricum",4700
"227","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Castricum",4700
"228","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Castricum",4600
"229","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Coevorden",4600
"230","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Coevorden",4600
"231","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Coevorden",4700
"232","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Coevorden",4600
"233","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Cranendonck",2800
"234","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Cranendonck",2700
"235","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Cranendonck",2700
"236","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Cranendonck",2600
"237","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Culemborg",4000
"238","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Culemborg",3900
"239","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Culemborg",3900
"240","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Culemborg",3800
"241","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Dalfsen",4100
"242","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Dalfsen",4100
"243","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Dalfsen",4200
"244","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Dalfsen",4200
"245","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Dantumadiel",2600
"246","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Dantumadiel",2600
"247","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Dantumadiel",2600
"248","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Dantumadiel",2600
"249","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Delft",25600
"250","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Delft",26200
"251","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Delft",26500
"252","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Delft",28300
"253","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Deurne",4500
"254","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Deurne",4400
"255","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Deurne",4500
"256","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Deurne",4500
"257","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Deventer",15200
"258","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Deventer",15100
"259","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Deventer",15400
"260","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Deventer",15300
"261","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Diemen",6400
"262","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Diemen",6200
"263","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Diemen",6400
"264","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Diemen",6200
"265","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Dijk en Waard",12200
"266","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Dijk en Waard",12400
"267","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Dijk en Waard",12500
"268","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Dijk en Waard",12500
"269","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Dinkelland",4200
"270","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Dinkelland",4100
"271","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Dinkelland",4200
"272","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Dinkelland",4000
"273","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Doesburg",1400
"274","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Doesburg",1400
"275","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Doesburg",1400
"276","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Doesburg",1300
"277","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Doetinchem",8200
"278","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Doetinchem",8300
"279","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Doetinchem",8300
"280","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Doetinchem",8300
"281","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Dongen",3500
"282","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Dongen",3500
"283","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Dongen",3600
"284","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Dongen",3500
"285","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Dordrecht",16900
"286","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Dordrecht",16900
"287","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Dordrecht",17200
"288","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Dordrecht",17200
"289","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Drechterland",2800
